k_minutes,mean_bca,method,n_results,std_bca
0.0,0.4587378398652909,loso,9,0.15396335491733457
0.5,nan,loso,0,nan
1.0,nan,loso,0,nan
2.0,nan,loso,0,nan
5.0,nan,loso,0,nan
10.0,nan,loso,0,nan
15.0,nan,loso,0,nan
30.0,nan,loso,0,nan
0.0,0.43262135694733733,ea,9,0.12038619931709173
0.5,nan,ea,0,nan
1.0,nan,ea,0,nan
2.0,nan,ea,0,nan
5.0,nan,ea,0,nan
10.0,nan,ea,0,nan
15.0,nan,ea,0,nan
30.0,nan,ea,0,nan
0.0,0.44283310190172936,tta,9,0.12115540776704666
0.5,nan,tta,0,nan
1.0,nan,tta,0,nan
2.0,nan,tta,0,nan
5.0,nan,tta,0,nan
10.0,nan,tta,0,nan
15.0,nan,tta,0,nan
30.0,nan,tta,0,nan
0.0,0.48256250149632496,finetune,9,0.1524088589446173
0.5,0.5008300264550265,finetune,9,0.1481960499396326
1.0,0.49984671646436346,finetune,9,0.1448807447998002
2.0,0.5024831713312106,finetune,9,0.13835038496555893
5.0,0.5206131690567966,finetune,9,0.154157148174571
10.0,0.55128255504481,finetune,9,0.14419076642005293
15.0,0.580292376922279,finetune,9,0.1333982907740047
30.0,0.5921146813426226,finetune,9,0.12453231204339614
0.0,0.45538936372269706,lora,9,0.16166747822674823
0.5,0.46990830520242277,lora,9,0.14380808530577013
1.0,0.46965101710199747,lora,9,0.15157120841466945
2.0,0.4789886788048552,lora,9,0.1479402063888083
5.0,0.5180700349940546,lora,9,0.1452992561674602
10.0,0.5666924084448595,lora,9,0.15159127738081793
15.0,0.6140043154013743,lora,9,0.1453170429419298
30.0,0.6035628546290311,lora,9,0.14017323863309591
0.0,0.4530712320540752,ea_lora,9,0.13479178567072841
0.5,0.4584650248988484,ea_lora,9,0.13780590789535568
1.0,0.4576843372676706,ea_lora,9,0.14063476197922117
2.0,0.45699539431157077,ea_lora,9,0.13794787904876205
5.0,0.480641454587533,ea_lora,9,0.13968934622049586
10.0,0.5215241067937146,ea_lora,9,0.1492258562487124
15.0,0.60058836996337,ea_lora,9,0.17534292200350518
30.0,0.6018696232054075,ea_lora,9,0.16649208392269085
0.0,0.48364683836497563,cld,9,0.14444796729069012
0.5,0.3522907140064003,cld,9,0.09013771469354272
1.0,0.37813361384439814,cld,9,0.10918528310852423
2.0,0.42368552834239104,cld,9,0.12390317956138067
5.0,0.42407650809611597,cld,9,0.14184782690361433
10.0,0.45876546202526597,cld,9,0.16186398793467863
15.0,0.4754358395779964,cld,9,0.15651936539695155
30.0,0.4672419787003121,cld,9,0.1521466631669592
0.0,0.45220942365550204,ea_cld,9,0.11055643022792062
0.5,0.3675650801631194,ea_cld,9,0.10600029476551019
1.0,0.3710854192104192,ea_cld,9,0.0941725683510498
2.0,0.37719700914553855,ea_cld,9,0.11203114515938056
5.0,0.39782307153630686,ea_cld,9,0.1269002128464617
10.0,0.41813485080641943,ea_cld,9,0.1331247755292693
15.0,0.427781862745098,ea_cld,9,0.14828456857811023
30.0,0.4262488079277295,ea_cld,9,0.13924994641916794
