k_minutes,mean_bca,method,n_results,std_bca
0.0,0.49408370541948965,loso,9,0.14181670099495092
0.5,nan,loso,0,nan
1.0,nan,loso,0,nan
2.0,nan,loso,0,nan
5.0,nan,loso,0,nan
10.0,nan,loso,0,nan
15.0,nan,loso,0,nan
30.0,nan,loso,0,nan
0.0,0.5085152116402116,ea,9,0.09412888133418323
0.5,nan,ea,0,nan
1.0,nan,ea,0,nan
2.0,nan,ea,0,nan
5.0,nan,ea,0,nan
10.0,nan,ea,0,nan
15.0,nan,ea,0,nan
30.0,nan,ea,0,nan
0.0,0.5094944566145547,tta,9,0.12415520437597571
0.5,nan,tta,0,nan
1.0,nan,tta,0,nan
2.0,nan,tta,0,nan
5.0,nan,tta,0,nan
10.0,nan,tta,0,nan
15.0,nan,tta,0,nan
30.0,nan,tta,0,nan
0.0,0.49408370541948965,finetune,9,0.14181670099495092
0.5,0.49500264849529546,finetune,9,0.14294394769664473
1.0,0.4945357950872656,finetune,9,0.14264223015225203
2.0,0.4964369109467148,finetune,9,0.1411619825870933
5.0,0.49947115384615387,finetune,9,0.14234807647463427
10.0,0.5353173555747085,finetune,9,0.13825480094692635
15.0,0.5629716167093618,finetune,9,0.14207812356561292
30.0,0.5603306030389364,finetune,9,0.13700410987888162
0.0,0.49408370541948965,lora,9,0.14181670099495092
0.5,0.49522190998906684,lora,9,0.14220459937619678
1.0,0.4942921883853256,lora,9,0.14096208902115245
2.0,0.49475573491504865,lora,9,0.1406984265178225
5.0,0.49678554470221137,lora,9,0.1414773547649431
10.0,0.5345324981844589,lora,9,0.12918361695713199
15.0,0.570608779836721,lora,9,0.13057287484585273
30.0,0.563704242380713,lora,9,0.1281704201322059
0.0,0.4966307997557997,ea_lora,9,0.10682184407792152
0.5,0.4981468762718762,ea_lora,9,0.10566311950664474
1.0,0.49757029236195904,ea_lora,9,0.1063862328152611
2.0,0.49802816781983444,ea_lora,9,0.10554000401545618
5.0,0.49974218319806546,ea_lora,9,0.10829060302048041
10.0,0.5154921762152154,ea_lora,9,0.10422736222995989
15.0,0.5446158784026431,ea_lora,9,0.10799347736681424
30.0,0.5326052614778105,ea_lora,9,0.0970486589628006
0.0,0.48375983584316923,cld,9,0.1367917937145768
0.5,0.3441733103497809,cld,9,0.06272941742179439
1.0,0.4106323569313765,cld,9,0.07546758097357104
2.0,0.4834390786229022,cld,9,0.10789673718633583
5.0,0.5120399748218376,cld,9,0.12264548083240738
10.0,0.5788304773476342,cld,9,0.11466027204132778
15.0,0.6027113658853855,cld,9,0.10813710241717688
30.0,0.596611921121725,cld,9,0.1158618318145756
0.0,0.4825038704940666,ea_cld,9,0.09255466539753358
0.5,0.32943031913620147,ea_cld,9,0.05126321030300295
1.0,0.416883663721899,ea_cld,9,0.07136258228903247
2.0,0.45882737995483097,ea_cld,9,0.10072461467056182
5.0,0.5109681871324028,ea_cld,9,0.1024620373886825
10.0,0.5356995469127822,ea_cld,9,0.09476916650456074
15.0,0.5554053444739719,ea_cld,9,0.08481423349564658
30.0,0.5676388539746383,ea_cld,9,0.08739283855024416
