k_minutes,mean_bca,method,n_results,std_bca
0.0,0.45901458517880084,loso,9,0.14153456240898796
0.5,nan,loso,0,nan
1.0,nan,loso,0,nan
2.0,nan,loso,0,nan
5.0,nan,loso,0,nan
10.0,nan,loso,0,nan
15.0,nan,loso,0,nan
30.0,nan,loso,0,nan
0.0,0.4434473682635447,ea,9,0.13391169597597544
0.5,nan,ea,0,nan
1.0,nan,ea,0,nan
2.0,nan,ea,0,nan
5.0,nan,ea,0,nan
10.0,nan,ea,0,nan
15.0,nan,ea,0,nan
30.0,nan,ea,0,nan
0.0,0.4320678912590677,tta,9,0.13596483657339986
0.5,nan,tta,0,nan
1.0,nan,tta,0,nan
2.0,nan,tta,0,nan
5.0,nan,tta,0,nan
10.0,nan,tta,0,nan
15.0,nan,tta,0,nan
30.0,nan,tta,0,nan
0.0,0.4349837050204697,finetune,9,0.13978758282806988
0.5,0.44217102795534163,finetune,9,0.13332718970113977
1.0,0.43978235952500655,finetune,9,0.1401974126848203
2.0,0.4482330945198593,finetune,9,0.1394969148458867
5.0,0.47650349741036013,finetune,9,0.13908155869477182
10.0,0.5069450429744546,finetune,9,0.12072224226446493
15.0,0.540624655845244,finetune,9,0.12636181987951503
30.0,0.5602590388007056,finetune,9,0.14728980003322928
0.0,0.4547655707582179,lora,9,0.142420776335453
0.5,0.45166987877772186,lora,9,0.1504729283977211
1.0,0.4522222421732226,lora,9,0.15009235221055
2.0,0.45272488767586805,lora,9,0.1517226912351531
5.0,0.4728729989146656,lora,9,0.1646452744614916
10.0,0.5129965654352909,lora,9,0.15406193582354313
15.0,0.5091273731714909,lora,9,0.16458479578718532
30.0,0.5299920195998626,lora,9,0.16137580767849113
0.0,0.4554542044738123,ea_lora,9,0.12329047407036262
0.5,0.46114594555771027,ea_lora,9,0.1271572456435819
1.0,0.46107124402467536,ea_lora,9,0.12413337212119775
2.0,0.4676941780985898,ea_lora,9,0.1249891963119934
5.0,0.47710268580366616,ea_lora,9,0.13514133840999387
10.0,0.542017091024444,ea_lora,9,0.13773816904422884
15.0,0.5771243525900389,ea_lora,9,0.14784327600138775
30.0,0.5866515039064059,ea_lora,9,0.16099695706248235
0.0,0.47102082285905816,cld,9,0.1366254318867593
0.5,0.4691730410112764,cld,9,0.13710970369742628
1.0,0.4723219522851876,cld,9,0.1383473083330074
2.0,0.47670254854078375,cld,9,0.13798028855676445
5.0,0.4823733061600708,cld,9,0.13531608350201813
10.0,0.48609700076611845,cld,9,0.13325084038884785
15.0,0.4889520487682252,cld,9,0.13460407587308165
30.0,0.49128128815628813,cld,9,0.13638040218489375
0.0,0.4577393920531175,ea_cld,9,0.13258811832813908
0.5,0.45588754020126576,ea_cld,9,0.1317401285314295
1.0,0.4569945813083068,ea_cld,9,0.13214958624177556
2.0,0.4577041186845108,ea_cld,9,0.134206051287994
5.0,0.4599088638304325,ea_cld,9,0.13159807478413704
10.0,0.4646042918591939,ea_cld,9,0.12807453527699494
15.0,0.47048449009233323,ea_cld,9,0.12891845212564892
30.0,0.47088131548915857,ea_cld,9,0.12999021692463988
