k_minutes,mean_bca,method,n_results,std_bca
0.0,0.4351776786213061,loso,9,0.10448307307360451
0.5,nan,loso,0,nan
1.0,nan,loso,0,nan
2.0,nan,loso,0,nan
5.0,nan,loso,0,nan
10.0,nan,loso,0,nan
15.0,nan,loso,0,nan
30.0,nan,loso,0,nan
0.0,0.46204728686346336,ea,9,0.10295723638972276
0.5,nan,ea,0,nan
1.0,nan,ea,0,nan
2.0,nan,ea,0,nan
5.0,nan,ea,0,nan
10.0,nan,ea,0,nan
15.0,nan,ea,0,nan
30.0,nan,ea,0,nan
0.0,0.4564598097073588,tta,9,0.1252566492147281
0.5,nan,tta,0,nan
1.0,nan,tta,0,nan
2.0,nan,tta,0,nan
5.0,nan,tta,0,nan
10.0,nan,tta,0,nan
15.0,nan,tta,0,nan
30.0,nan,tta,0,nan
0.0,0.4351776786213061,finetune,9,0.10448307307360451
0.5,0.4361220791735497,finetune,9,0.10091580604830117
1.0,0.4394865510306687,finetune,9,0.10253926546750151
2.0,0.4444238699753405,finetune,9,0.09488712763725604
5.0,0.4717722074584819,finetune,9,0.11233927116972779
10.0,0.5110224738043365,finetune,9,0.10301087005254819
15.0,0.5452163286967209,finetune,9,0.10154204319106815
30.0,0.552353659412483,finetune,9,0.08567099409712249
0.0,0.4351776786213061,lora,9,0.10448307307360451
0.5,0.4354659705762647,lora,9,0.1000562421320871
1.0,0.4350944979131253,lora,9,0.1072284335574745
2.0,0.4393219702410878,lora,9,0.09903083982026106
5.0,0.4605411708843082,lora,9,0.10686786760276322
10.0,0.4748279924505414,lora,9,0.09746090170070974
15.0,0.48849672703839364,lora,9,0.10484998100184034
30.0,0.5059295919222389,lora,9,0.09236558254985551
0.0,0.4767141899494841,ea_lora,9,0.09919149782669602
0.5,0.4713957470452568,ea_lora,9,0.10431100710774184
1.0,0.46945487382987383,ea_lora,9,0.10146312600653729
2.0,0.46984192822428117,ea_lora,9,0.10199204707113518
5.0,0.47475466753653023,ea_lora,9,0.10162189942785033
10.0,0.47919461801814744,ea_lora,9,0.10922315273414199
15.0,0.5058168139050492,ea_lora,9,0.11688342935514531
30.0,0.5058072623636349,ea_lora,9,0.12685461650310115
0.0,0.43385073758848264,cld,9,0.10588902087836627
0.5,0.4330489467866918,cld,9,0.10744163217594901
1.0,0.4394516168290678,cld,9,0.10742212270527801
2.0,0.44613627929804406,cld,9,0.10716031625431674
5.0,0.46314007796850937,cld,9,0.10346313228778153
10.0,0.4806808927274614,cld,9,0.09700630398724853
15.0,0.48882563424230085,cld,9,0.10399989048359447
30.0,0.4852816981493452,cld,9,0.10515146731456222
0.0,0.43837719560758776,ea_cld,9,0.09456791018469318
0.5,0.4397688078080235,ea_cld,9,0.09293599973976142
1.0,0.44215058815549013,ea_cld,9,0.08618442893534012
2.0,0.4422529866647513,ea_cld,9,0.08463387840284128
5.0,0.45303143978389077,ea_cld,9,0.09126360697350973
10.0,0.4656436092955701,ea_cld,9,0.10153648885170144
15.0,0.47957876455425474,ea_cld,9,0.09790345571696153
30.0,0.4805164765336334,ea_cld,9,0.09913957701976923
