k_minutes,mean_bca,method,n_results,std_bca
0.0,0.4351776786213061,loso,9,0.10448307307360451
0.5,nan,loso,0,nan
1.0,nan,loso,0,nan
2.0,nan,loso,0,nan
5.0,nan,loso,0,nan
10.0,nan,loso,0,nan
15.0,nan,loso,0,nan
30.0,nan,loso,0,nan
0.0,0.46204728686346336,ea,9,0.10295723638972276
0.5,nan,ea,0,nan
1.0,nan,ea,0,nan
2.0,nan,ea,0,nan
5.0,nan,ea,0,nan
10.0,nan,ea,0,nan
15.0,nan,ea,0,nan
30.0,nan,ea,0,nan
0.0,0.4564598097073588,tta,9,0.1252566492147281
0.5,nan,tta,0,nan
1.0,nan,tta,0,nan
2.0,nan,tta,0,nan
5.0,nan,tta,0,nan
10.0,nan,tta,0,nan
15.0,nan,tta,0,nan
30.0,nan,tta,0,nan
0.0,0.4351776786213061,finetune,9,0.10448307307360451
0.5,0.4361220791735497,finetune,9,0.10091580604830117
1.0,0.4394865510306687,finetune,9,0.10253926546750151
2.0,0.4444238699753405,finetune,9,0.09488712763725604
5.0,0.4717722074584819,finetune,9,0.11233927116972779
10.0,0.5098849076667704,finetune,9,0.10514328224774053
15.0,0.5448764833568754,finetune,9,0.10175602106586511
30.0,0.552353659412483,finetune,9,0.08567099409712249
0.0,0.4351776786213061,lora,9,0.10448307307360451
0.5,0.43509560020589433,lora,9,0.09965370003922136
1.0,0.4354648682834957,lora,9,0.10760264605385232
2.0,0.4393219702410878,lora,9,0.09903083982026106
5.0,0.4605411708843082,lora,9,0.10686786760276322
10.0,0.4756521682747173,lora,9,0.09717092446774583
15.0,0.48770307624474285,lora,9,0.10482522243181708
30.0,0.5066703326629797,lora,9,0.09204819222707439
0.0,0.4747300629653571,ea_lora,9,0.101942031835674
0.5,0.4713957470452568,ea_lora,9,0.10431100710774184
1.0,0.4701956145706146,ea_lora,9,0.1011928771281513
2.0,0.4699220564294094,ea_lora,9,0.10301359993747726
5.0,0.47475466753653023,ea_lora,9,0.10162189942785033
10.0,0.4784538772774067,ea_lora,9,0.10926522768986095
15.0,0.5062441643323996,ea_lora,9,0.11731206694427548
30.0,0.5072622888186614,ea_lora,9,0.12491034256069539
0.0,0.4317139854517305,cld,9,0.10706489206110946
0.5,0.2701068176558373,cld,9,0.033400946702804274
1.0,0.3675906274190588,cld,9,0.0671162849953756
2.0,0.41286435514376685,cld,9,0.09383098646775462
5.0,0.5049284407495191,cld,9,0.13333624377031045
10.0,0.5619519011308227,cld,9,0.12846784681791668
15.0,0.590643669148571,cld,9,0.11574293341821357
30.0,0.5967740479382636,cld,9,0.11422485263243726
0.0,0.44118729400592144,ea_cld,9,0.09557424687956641
0.5,0.2762501895345032,ea_cld,9,0.022864724279715382
1.0,0.3529289016176271,ea_cld,9,0.06312716294501515
2.0,0.4005652168274717,ea_cld,9,0.08037599164899316
5.0,0.4770637663897468,ea_cld,9,0.10508662184534123
10.0,0.5362949845180237,ea_cld,9,0.09963870451462921
15.0,0.536067039351353,ea_cld,9,0.12975433317839574
30.0,0.5380889535301301,ea_cld,9,0.1328643200237638
